movie_title,imdb_score,duration,color,title_year,Genre_1,language,country,gross,budget,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,movie_facebook_likes,ProfitTurnover,AdjustedGross,AdjustedBudget,Language,Country,TotalFacebooklikes,TitleLength,Generation
Avatar ,7.9,178,Color,2009,Action,English,USA,760505847,237000000,0,855,1000,936,33000,2.208885430379747,760.505847,237,English,USA,35791,7,Boomletes
Pirates of the Caribbean: At World's End ,7.1,169,Color,2007,Action,English,USA,309404152,300000000,563,1000,40000,5000,0,0.03134717333333333,309.404152,300,English,USA,46563,41,Boomletes
Spectre ,6.8,148,Color,2015,Action,English,UK,200074175,245000000,0,161,11000,393,85000,-0.18337071428571428,200.074175,245,English,Non-US,96554,8,Boomletes
The Dark Knight Rises ,8.5,164,Color,2012,Action,English,USA,448130642,250000000,22000,23000,27000,23000,164000,0.792522568,448.130642,250,English,USA,259000,22,Boomletes
John Carter ,6.6,132,Color,2012,Action,English,USA,73058679,263700000,475,530,640,632,24000,-0.722947747440273,73.058679,263.7,English,USA,26277,12,Boomletes
Spider-Man 3 ,6.2,156,Color,2007,Action,English,USA,336530303,258000000,0,4000,24000,11000,0,0.30438101937984496,336.530303,258,English,USA,39000,13,Boomletes
Tangled ,7.8,100,Color,2010,Adventure,English,USA,200807262,260000000,15,284,799,553,29000,-0.22766437692307692,200.807262,260,English,USA,30651,8,Boomletes
Avengers: Age of Ultron ,7.5,141,Color,2015,Action,English,USA,458991599,250000000,0,19000,26000,21000,118000,0.835966396,458.991599,250,English,USA,184000,24,Boomletes
Harry Potter and the Half-Blood Prince ,7.5,153,Color,2009,Adventure,English,UK,301956980,250000000,282,10000,25000,11000,10000,0.20782792,301.95698,250,English,Non-US,56282,39,Boomletes
Batman v Superman: Dawn of Justice ,6.9,183,Color,2016,Action,English,USA,330249062,250000000,0,2000,15000,4000,197000,0.320996248,330.249062,250,English,USA,218000,35,Boomletes
Superman Returns ,6.1,169,Color,2006,Action,English,USA,200069408,209000000,0,903,18000,10000,0,-0.042730105263157896,200.069408,209,English,USA,28903,17,Boomletes
Quantum of Solace ,6.7,106,Color,2008,Action,English,UK,168368427,200000000,395,393,451,412,0,-0.158157865,168.368427,200,English,Non-US,1651,18,Boomletes
Pirates of the Caribbean: Dead Man's Chest ,7.3,151,Color,2006,Action,English,USA,423032628,225000000,563,1000,40000,5000,5000,0.8801450133333333,423.032628,225,English,USA,51563,43,Boomletes
The Lone Ranger ,6.5,150,Color,2013,Action,English,USA,89289910,215000000,563,1000,40000,2000,48000,-0.5846980930232558,89.28991,215,English,USA,91563,16,Boomletes
Man of Steel ,7.2,143,Color,2013,Action,English,USA,291021565,225000000,0,748,15000,3000,118000,0.29342917777777777,291.021565,225,English,USA,136748,13,Boomletes
The Chronicles of Narnia: Prince Caspian ,6.6,150,Color,2008,Action,English,USA,141614023,225000000,80,201,22000,216,0,-0.3706043422222222,141.614023,225,English,USA,22497,41,Boomletes
The Avengers ,8.1,173,Color,2012,Action,English,USA,623279547,220000000,0,19000,26000,21000,123000,1.83308885,623.279547,220,English,USA,189000,13,Boomletes
Pirates of the Caribbean: On Stranger Tides ,6.7,136,Color,2011,Action,English,USA,241063875,250000000,252,1000,40000,11000,58000,-0.0357445,241.063875,250,English,USA,110252,44,Boomletes
Men in Black 3 ,6.8,106,Color,2012,Action,English,USA,179020854,225000000,188,718,10000,816,40000,-0.20435176,179.020854,225,English,USA,51722,15,Boomletes
The Hobbit: The Battle of the Five Armies ,7.5,164,Color,2014,Adventure,English,New Zealand,255108370,250000000,0,773,5000,972,65000,0.02043348,255.10837,250,English,Non-US,71745,42,Boomletes
The Amazing Spider-Man ,7,153,Color,2012,Action,English,USA,262030663,230000000,464,963,15000,10000,56000,0.13926375217391304,262.030663,230,English,USA,82427,23,Boomletes
Robin Hood ,6.7,156,Color,2010,Action,English,USA,105219735,200000000,0,738,891,882,17000,-0.473901325,105.219735,200,English,USA,19511,11,Boomletes
The Hobbit: The Desolation of Smaug ,7.9,186,Color,2013,Adventure,English,USA,258355354,225000000,0,773,5000,972,83000,0.14824601777777777,258.355354,225,English,USA,89745,36,Boomletes
The Golden Compass ,6.1,113,Color,2007,Adventure,English,USA,70083519,180000000,129,1000,16000,6000,0,-0.6106471166666667,70.083519,180,English,USA,23129,19,Boomletes
King Kong ,7.2,201,Color,2005,Action,English,New Zealand,218051260,207000000,0,84,6000,919,0,0.053387729468599036,218.05126,207,English,Non-US,7003,10,Boomletes
Titanic ,7.7,194,Color,1997,Drama,English,USA,658672302,200000000,0,794,29000,14000,26000,2.29336151,658.672302,200,English,USA,69794,8,Millenium
Captain America: Civil War ,8.2,147,Color,2016,Action,English,USA,407197282,250000000,94,11000,21000,19000,72000,0.628789128,407.197282,250,English,USA,123094,27,Boomletes
Battleship ,5.9,131,Color,2012,Action,English,USA,65173160,209000000,532,627,14000,10000,44000,-0.6881666985645933,65.17316,209,English,USA,69159,11,Boomletes
Jurassic World ,7,124,Color,2015,Action,English,USA,652177271,150000000,365,1000,3000,2000,150000,3.3478484733333334,652.177271,150,English,USA,156365,15,Boomletes
Skyfall ,7.8,143,Color,2012,Action,English,UK,304360277,200000000,0,393,883,563,80000,0.521801385,304.360277,200,English,Non-US,81839,8,Boomletes
Spider-Man 2 ,7.3,135,Color,2004,Action,English,USA,373377893,200000000,0,4000,24000,11000,0,0.866889465,373.377893,200,English,USA,39000,13,Boomletes
Iron Man 3 ,7.2,195,Color,2013,Action,English,USA,408992272,200000000,1000,3000,21000,4000,95000,1.04496136,408.992272,200,English,USA,124000,11,Boomletes
Alice in Wonderland ,6.5,108,Color,2010,Adventure,English,USA,334185206,200000000,13000,11000,40000,25000,24000,0.67092603,334.185206,200,English,USA,113000,20,Boomletes
X-Men: The Last Stand ,6.8,104,Color,2006,Action,English,Canada,234360014,210000000,420,560,20000,808,0,0.11600006666666667,234.360014,210,English,Non-US,21788,22,Boomletes
Monsters University ,7.3,104,Color,2013,Adventure,English,USA,268488329,200000000,37,760,12000,779,44000,0.342441645,268.488329,200,English,USA,57576,20,Boomletes
Transformers: Revenge of the Fallen ,6,150,Color,2009,Action,English,USA,402076689,200000000,0,464,894,581,0,1.010383445,402.076689,200,English,USA,1939,36,Boomletes
Transformers: Age of Extinction ,5.7,165,Color,2014,Action,English,USA,245428137,210000000,0,808,974,956,56000,0.16870541428571428,245.428137,210,English,USA,58738,32,Boomletes
Oz the Great and Powerful ,6.4,130,Color,2013,Adventure,English,USA,234903076,215000000,0,11000,44000,15000,60000,0.09257244651162791,234.903076,215,English,USA,130000,26,Boomletes
The Amazing Spider-Man 2 ,6.7,142,Color,2014,Action,English,USA,202853933,200000000,464,825,15000,10000,41000,0.014269665,202.853933,200,English,USA,67289,25,Boomletes
TRON: Legacy ,6.8,125,Color,2010,Action,English,USA,172051787,170000000,364,1000,12000,10000,30000,0.012069335294117647,172.051787,170,English,USA,53364,13,Boomletes
Cars 2 ,6.3,106,Color,2011,Adventure,English,USA,191450875,200000000,487,776,1000,919,10000,-0.042745625,191.450875,200,English,USA,13182,7,Boomletes
Green Lantern ,5.6,123,Color,2011,Action,English,USA,116593191,200000000,258,326,16000,368,24000,-0.417034045,116.593191,200,English,USA,40952,14,Boomletes
Toy Story 3 ,8.3,103,Color,2010,Adventure,English,USA,414984497,200000000,125,721,15000,1000,30000,1.074922485,414.984497,200,English,USA,46846,12,Boomletes
Terminator Salvation ,6.6,118,Color,2009,Action,English,USA,125320003,200000000,368,988,23000,3000,0,-0.373399985,125.320003,200,English,USA,27356,21,Boomletes
Furious 7 ,7.2,140,Color,2015,Action,English,USA,350034110,190000000,0,14000,26000,23000,94000,0.8422847894736842,350.03411,190,English,USA,157000,10,Boomletes
World War Z ,7,123,Color,2013,Action,English,USA,202351611,190000000,395,1000,17000,11000,129000,0.06500847894736841,202.351611,190,English,USA,158395,12,Boomletes
X-Men: Days of Future Past ,8,149,Color,2014,Action,English,USA,233914986,200000000,0,20000,34000,22000,82000,0.16957493,233.914986,200,English,USA,158000,27,Boomletes
Star Trek Into Darkness ,7.8,132,Color,2013,Action,English,USA,228756232,190000000,14000,928,19000,981,92000,0.20398016842105263,228.756232,190,English,USA,126909,24,Boomletes
Jack the Giant Slayer ,6.3,114,Color,2013,Adventure,English,USA,65171860,195000000,0,140,979,557,22000,-0.6657853333333333,65.17186,195,English,USA,23676,22,Boomletes
The Great Gatsby ,7.3,143,Color,2013,Drama,English,Australia,144812796,105000000,1000,77,29000,509,115000,0.3791694857142857,144.812796,105,English,Non-US,145586,17,Boomletes
Prince of Persia: The Sands of Time ,6.6,116,Color,2010,Action,English,USA,90755643,200000000,179,236,15000,567,23000,-0.546221785,90.755643,200,English,USA,38982,36,Boomletes
Pacific Rim ,7,131,Color,2013,Action,English,USA,101785482,190000000,0,919,16000,968,83000,-0.46428693684210526,101.785482,190,English,USA,100887,12,Boomletes
Transformers: Dark of the Moon ,6.3,154,Color,2011,Action,English,USA,352358779,195000000,0,581,894,829,46000,0.8069680974358975,352.358779,195,English,USA,48304,31,Boomletes
Indiana Jones and the Kingdom of the Crystal Skull ,6.2,122,Color,2008,Action,English,USA,317011114,185000000,14000,1000,11000,1000,5000,0.7135735891891892,317.011114,185,English,USA,32000,51,Boomletes
Brave ,7.2,93,Color,2012,Adventure,English,USA,237282182,185000000,56,838,2000,1000,39000,0.2826063891891892,237.282182,185,English,USA,42894,6,Boomletes
Star Trek Beyond ,7.5,122,Color,2016,Action,English,USA,130468626,185000000,681,105,998,119,30000,-0.2947641837837838,130.468626,185,English,USA,31903,17,Boomletes
WALL·E ,8.4,98,Color,2008,Adventure,English,USA,223806889,180000000,475,522,1000,729,16000,0.24337160555555556,223.806889,180,English,USA,18726,7,Boomletes
Rush Hour 3 ,6.2,91,Color,2007,Action,English,USA,140080850,140000000,420,173,268,268,0,5.775e-4,140.08085,140,English,USA,1129,12,Boomletes
2012 ,5.8,158,Color,2009,Action,English,USA,166112167,200000000,776,310,1000,468,13000,-0.169439165,166.112167,200,English,USA,15554,5,Boomletes
A Christmas Carol ,6.8,96,Color,2009,Animation,English,USA,137850096,200000000,0,10000,18000,14000,0,-0.31074952,137.850096,200,English,USA,42000,18,Boomletes
Jupiter Ascending ,5.4,127,Color,2015,Action,English,USA,47375327,176000000,0,13000,17000,15000,44000,-0.7308220056818182,47.375327,176,English,USA,89000,18,Boomletes
The Legend of Tarzan ,6.6,110,Color,2016,Action,English,USA,124051759,180000000,282,103,11000,10000,29000,-0.3108235611111111,124.051759,180,English,USA,50385,21,Boomletes
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9,150,Color,2005,Adventure,English,USA,291709845,180000000,80,82,1000,190,0,0.62061025,291.709845,180,English,USA,1352,63,Boomletes
X-Men: Apocalypse ,7.3,144,Color,2016,Action,English,USA,154985087,178000000,0,1000,34000,13000,54000,-0.12929726404494382,154.985087,178,English,USA,102000,18,Boomletes
The Dark Knight ,9,152,Color,2008,Action,English,USA,533316061,185000000,22000,11000,23000,13000,37000,1.882789518918919,533.316061,185,English,USA,106000,16,Boomletes
Up ,8.3,96,Color,2009,Adventure,English,USA,292979556,175000000,0,262,1000,848,27000,0.6741688914285714,292.979556,175,English,USA,29110,3,Boomletes
Monsters vs. Aliens ,6.5,94,Color,2009,Action,English,USA,198332128,175000000,11,459,1000,973,0,0.1333264457142857,198.332128,175,English,USA,2443,20,Boomletes
Iron Man ,7.9,126,Color,2008,Action,English,USA,318298180,140000000,4000,4000,21000,12000,10000,1.2735584285714285,318.29818,140,English,USA,51000,9,Boomletes
Hugo ,7.5,126,Color,2011,Adventure,English,USA,73820094,170000000,17000,1000,17000,16000,42000,-0.5657641529411764,73.820094,170,English,USA,93000,5,Boomletes
Wild Wild West ,4.8,106,Color,1999,Action,English,USA,113745408,170000000,188,582,10000,4000,0,-0.33090936470588234,113.745408,170,English,USA,14770,15,Millenium
The Mummy: Tomb of the Dragon Emperor ,5.2,112,Color,2008,Action,English,USA,102176165,145000000,357,595,5000,3000,0,-0.2953367931034483,102.176165,145,English,USA,8952,38,Boomletes
Suicide Squad ,6.9,123,Color,2016,Action,English,USA,161087183,175000000,452,329,10000,336,80000,-0.07950181142857143,161.087183,175,English,USA,91117,14,Boomletes
Evan Almighty ,5.4,96,Color,2007,Comedy,English,USA,100289690,175000000,293,7000,87000,11000,2000,-0.42691605714285713,100.28969,175,English,USA,107293,14,Boomletes
Edge of Tomorrow ,7.9,113,Color,2014,Action,English,USA,100189501,178000000,218,509,10000,854,77000,-0.4371376348314607,100.189501,178,English,USA,88581,17,Boomletes
Waterworld ,6.1,176,Color,1995,Action,English,USA,88246220,175000000,58,60,711,60,0,-0.49573588571428573,88.24622,175,English,USA,889,11,Millenium
G.I. Joe: The Rise of Cobra ,5.8,118,Color,2009,Action,English,USA,150167630,175000000,208,570,23000,2000,0,-0.14189925714285714,150.16763,175,English,USA,25778,28,Boomletes
Inside Out ,8.3,95,Color,2015,Adventure,English,USA,356454367,175000000,0,384,1000,767,118000,1.0368820971428572,356.454367,175,English,USA,120151,11,Boomletes
The Jungle Book ,7.8,106,Color,2016,Adventure,English,UK,362645141,175000000,4000,591,19000,13000,65000,1.0722579485714285,362.645141,175,English,Non-US,101591,16,Boomletes
Iron Man 2 ,7,124,Color,2010,Action,English,USA,312057433,200000000,4000,4000,21000,19000,18000,0.560287165,312.057433,200,English,USA,66000,11,Boomletes
Snow White and the Huntsman ,6.1,132,Color,2012,Action,English,USA,155111815,170000000,274,11000,26000,17000,53000,-0.08757755882352941,155.111815,170,English,USA,107274,28,Boomletes
Maleficent ,7,97,Color,2014,Action,English,USA,241407328,180000000,171,846,11000,2000,89000,0.34115182222222223,241.407328,180,English,USA,103017,11,Boomletes
Dawn of the Planet of the Apes ,7.6,130,Color,2014,Action,English,USA,208543795,170000000,198,884,10000,2000,45000,0.22672820588235293,208.543795,170,English,USA,58082,31,Boomletes
47 Ronin ,6.3,128,Color,2013,Action,English,USA,38297305,175000000,47,982,18000,1000,35000,-0.7811582571428571,38.297305,175,English,USA,55029,9,Boomletes
Captain America: The Winter Soldier ,7.8,136,Color,2014,Action,English,USA,259746958,170000000,94,2000,19000,11000,55000,0.5279232823529412,259.746958,170,English,USA,87094,36,Boomletes
Shrek Forever After ,6.4,93,Color,2010,Adventure,English,USA,238371987,165000000,31,213,4000,225,0,0.44467870909090906,238.371987,165,English,USA,4469,20,Boomletes
Tomorrowland ,6.5,130,Color,2015,Action,English,USA,93417865,190000000,663,604,2000,638,37000,-0.5083270263157895,93.417865,190,English,USA,40905,13,Boomletes
Big Hero 6 ,7.9,102,Color,2014,Action,English,USA,222487711,165000000,38,562,756,719,41000,0.3484103696969697,222.487711,165,English,USA,43075,11,Boomletes
Wreck-It Ralph ,7.8,101,Color,2012,Adventure,English,USA,189412677,165000000,66,833,975,931,40000,0.14795561818181818,189.412677,165,English,USA,42805,15,Boomletes
The Polar Express ,6.6,100,Color,2004,Adventure,English,USA,665426,165000000,0,267,15000,726,10000,-0.9959671151515151,0.665426,165,English,USA,25993,18,Boomletes
Independence Day: Resurgence ,5.5,120,Color,2016,Action,English,USA,102315545,165000000,776,535,890,812,67000,-0.37990578787878787,102.315545,165,English,USA,70013,29,Boomletes
How to Train Your Dragon ,8.2,98,Color,2010,Adventure,English,USA,217387997,165000000,255,759,18000,953,33000,0.3175030121212121,217.387997,165,English,USA,52967,25,Boomletes
Terminator 3: Rise of the Machines ,6.4,109,Color,2003,Action,English,USA,150350192,200000000,84,191,648,284,0,-0.24824904,150.350192,200,English,USA,1207,35,Boomletes
Guardians of the Galaxy ,8.1,121,Color,2014,Action,English,USA,333130696,170000000,571,3000,14000,14000,96000,0.9595923294117648,333.130696,170,English,USA,127571,24,Boomletes
Interstellar ,8.6,169,Color,2014,Adventure,English,USA,187991439,165000000,22000,6000,11000,11000,349000,0.13934205454545454,187.991439,165,English,USA,399000,13,Boomletes
Inception ,8.8,148,Color,2010,Action,English,USA,292568851,160000000,22000,23000,29000,27000,175000,0.82855531875,292.568851,160,English,USA,276000,10,Boomletes
The Hobbit: An Unexpected Journey ,7.9,182,Color,2012,Adventure,English,USA,303001229,180000000,0,773,5000,972,166000,0.6833401611111111,303.001229,180,English,USA,172745,34,Boomletes
The Fast and the Furious ,6.7,106,Color,2001,Action,English,USA,144512310,38000000,357,4000,23000,14000,14000,2.8029555263157895,144.51231,38,English,USA,55357,25,Boomletes
The Curious Case of Benjamin Button ,7.8,166,Color,2008,Drama,English,USA,127490802,150000000,21000,919,11000,1000,23000,-0.15006132,127.490802,150,English,USA,56919,36,Boomletes
X-Men: First Class ,7.8,132,Color,2011,Action,English,USA,146405371,160000000,905,1000,34000,13000,54000,-0.08496643125,146.405371,160,English,USA,102905,19,Boomletes
The Hunger Games: Mockingjay - Part 2 ,6.6,137,Color,2015,Adventure,English,USA,281666058,160000000,508,14000,34000,22000,38000,0.7604128625,281.666058,160,English,USA,108508,38,Boomletes
The Sorcerer's Apprentice ,6.1,109,Color,2010,Action,English,USA,63143812,150000000,226,370,12000,418,11000,-0.5790412533333333,63.143812,150,English,USA,24014,26,Boomletes
Poseidon ,5.6,98,Color,2006,Action,English,USA,60655503,160000000,249,702,87000,2000,0,-0.62090310625,60.655503,160,English,USA,89951,9,Boomletes
Alice Through the Looking Glass ,6.4,113,Color,2016,Adventure,English,USA,76846624,170000000,33,11000,40000,25000,30000,-0.5479610352941177,76.846624,170,English,USA,106033,32,Boomletes
